 ___________________________________________________________________________________________________________________________________________________________________ 
|Код       |Наименование                  |Адрес                                                       |Расчетный                                                   |
|получателя|получателя                    |получателя                                                  |счет                                                        |
|...................................................................................................................................................................|
|       198|               Брест "Дайнова"|                                     г.Брест ул.Карбышева 63|                                                            |
|       199|      БЕРЕЗА ГСП "Березастрой"|                                                г. Береза -4|                                  301 220 008 0010 в АКП БББ|
|       200|АО Косовское меб.произв.объеди|                          225262 г.Косово,ул.3-га  Февраля,7|           3012200110012 в ф-ле 0508 "Приорбанк" г.Ивацевичи|
|       201|     г.Брест З-д бытовой химии|                                   г.Брест,ул.Белорусская,51|                  301 222 001 0020 в Белбизнесбанке г.Бреста|
|       202|                   г.Брест ЦУМ|                            224036 г.Брест, ул.Московская,17|         212 020 414 0039 в г/б Приорбанка  г.Бреста код 703|
|       203|             г.Брест МП"САВЛА"|                                  г.Брест, ул.Я.Купалы,106/2|                                462508 в Приорбанке г.Бреста|
|       204|  г.Брест Ф-ка головных уборов|                            224000 г.Брест ул.Советская,112 |                                       500023 в КВБ г.Бреста|
|       205|  г.Брест ФОАО "Белсвязьстрой"|                            г.Брест,ул.Красногвардейская,106|              301 200 039 0015 в УАК Промстройбанка г.Бреста|
|       206|       Концерн "БРЕСТМЕСТПРОМ"|                           224000, г.Брест, ул.Воровского,19|                                       366403 в КВБ г.Бреста|
|       207|      г.Брест Радиотехн. завод|                                 г.Брест, ул. Московская,248|         301 200 017 0017 в Московском отд. АК ПСБ г.Бреста |
|       208|г.Брест Пр.комер.фирма"Купава"|                                   г. Брест  ул. Кирова 52/1|                                     3468801 в Бресткомбанке|
|       209|г.БрестФ-ка п-ва и рем. одежды|                                      г.Брест, пр.Машерова17|                3012207100011 в Приорбанке по Брестской обл.|
|       210|       г.Брест з-д "Цветотрон"|                                    г.Брест ул. Каръерная 11|              3012000210010 в Московском отд. АКПСБ г.Бреста|
|       211| г.Брест ОАО Чулочный комбинат|                                     г. Брест ул. Я.Купалы 3|              301 220 733 0012 в ГФ АО "Приорбанка" г.Бреста|
|       212|          г.БрестПО "СНЕЖИНКА"|                                   г.Брест,ул.Янки Купалы,15|                                       500913 в КВБ г.Бреста|
|       213|            г.Брест ОБЛБЫТСНАБ|                               г.Брест ул. Красногвардейская|                                     15510804 в КВБ г.Бреста|
